ID,Name,Parameter,Language,Frequency,Confidence,References
7A-iba,No glottalized consonants,Glottalized Consonants,Iban,,,Omar 1981;Scott 1957
7A-igb,No glottalized consonants,Glottalized Consonants,Igbo,,,Ikekeonwu 1999
7A-ign,No glottalized consonants,Glottalized Consonants,Ignaciano,,,Ott and Ott 1967a
7A-ijo,No glottalized consonants,Glottalized Consonants,Ijo (Kolokuma),,,Williamson 1965
7A-ik,Ejectives and implosives,Glottalized Consonants,Ik,,,Tucker 1971;Heine 1975b
7A-ika,No glottalized consonants,Glottalized Consonants,Ika,,,Frank 1990;Tracy and Tracy 1973
7A-imo,No glottalized consonants,Glottalized Consonants,Imonda,,,Seiler 1985
7A-ind,No glottalized consonants,Glottalized Consonants,Indonesian,,,Alwi et al. 1998
7A-igs,No glottalized consonants,Glottalized Consonants,Ingessana,,,Tucker and Bryan 1966;Crewe 1975
7A-ing,Ejectives only,Glottalized Consonants,Ingush,,,Nichols 1994b
7A-irx,No glottalized consonants,Glottalized Consonants,Iranxe,,,Meader 1967
7A-irq,Ejectives and implosives,Glottalized Consonants,Iraqw,,,Mous 1993;Nordbustad 1988;Whiteley 1958;Maghway 1995
7A-irr,No glottalized consonants,Glottalized Consonants,Irarutu,,,Voorhoeve 1989
7A-ird,No glottalized consonants,Glottalized Consonants,Irish (Donegal),,,Ní Chasaide 1999;Ó Dochartaigh 1992
7A-iso,No glottalized consonants,Glottalized Consonants,Isoko,,,Donwa 1982
7A-ite,Ejectives only,Glottalized Consonants,Itelmen,,,Volodin 1976
7A-ito,Ejectives only,Glottalized Consonants,Itonama,,,Liccardi and Grimes 1968
7A-ivs,No glottalized consonants,Glottalized Consonants,Ivatan (Southern),,,Heye and Hidalgo 1967;Hidalgo and Hidalgo 1971;Cottle and Cottle 1958
7A-iwm,No glottalized consonants,Glottalized Consonants,Iwam,,,Laycock 1965b
7A-jak,Ejectives only,Glottalized Consonants,Jakaltek,,,Craig 1977;Day 1973
7A-jpn,No glottalized consonants,Glottalized Consonants,Japanese,,,Bloch 1950;Shibatani 1990;Martin 1952;Jorden 1963
7A-jpr,No glottalized consonants,Glottalized Consonants,Japreria,,,Durbin and Seijas 1972
7A-jaq,Ejectives only,Glottalized Consonants,Jaqaru,,,Hardman 2000
7A-jav,No glottalized consonants,Glottalized Consonants,Javanese,,,Horne 1961;Uhlenbeck 1963;Fagan 1988;Herrfurth 1964
7A-jeb,Ejectives and glottalized resonants,Glottalized Consonants,Jebero,,,Bendor-Samuel 1961b
7A-jeh,Implosives only,Glottalized Consonants,Jeh,,,Gradin 1966;Cohen 1966;Gradin and Gradin 1979
7A-jng,No glottalized consonants,Glottalized Consonants,Jingpho,,,Liu 1964
7A-jiv,No glottalized consonants,Glottalized Consonants,Jivaro,,,Beasley and Pike 1957
7A-jom,No glottalized consonants,Glottalized Consonants,Jomang,,,Schadeberg 1981a
7A-juh,Ejectives only,Glottalized Consonants,Ju|'hoan,,,Dickens 1994;Snyman 1975;Snyman 1970
7A-kab,Ejectives only,Glottalized Consonants,Kabardian,,,Kuipers 1960
7A-kad,Implosives only,Glottalized Consonants,Kadugli,,,Matsushita 1984;Kutoado 1973
7A-kng,No glottalized consonants,Glottalized Consonants,Kaingang,,,Wiesemann 1972;Henry 1935;Kindell 1972
7A-kly,No glottalized consonants,Glottalized Consonants,Kala Lagaw Ya,,,Wurm 1972a;Kennedy 1981
7A-kal,No glottalized consonants,Glottalized Consonants,Kalami,,,Baart 1997
7A-kgu,No glottalized consonants,Glottalized Consonants,Kalkatungu,,,Blake 1979b
7A-kzh,No glottalized consonants,Glottalized Consonants,Kam (Zhanglu),,,Zheng and Quan 1988
7A-knk,Implosives only,Glottalized Consonants,Kanakuru,,,Newman 1974
7A-knd,No glottalized consonants,Glottalized Consonants,Kannada,,,Sridhar 1990;Upadhyaya 1972;Steever 1998b
7A-knr,No glottalized consonants,Glottalized Consonants,Kanuri,,,Lukas 1937;Awobuluyi 1971;Hutchison 1981
7A-ksg,Implosives only,Glottalized Consonants,Karen (Sgaw),,,Jones 1961
7A-krk,No glottalized consonants,Glottalized Consonants,Karok,,,Bright 1957
7A-kas,No glottalized consonants,Glottalized Consonants,Kashmiri,,,Bhat 1987;Kelkar and Trisal 1964;Zakhar'in 1974;Zakhar'in and Edelman 1971
7A-kws,No glottalized consonants,Glottalized Consonants,Kawaiisu,,,Zigmond et al. 1990-1991
7A-kyl,No glottalized consonants,Glottalized Consonants,Kayah Li (Eastern),,,Solnit 1997
7A-kay,No glottalized consonants,Glottalized Consonants,Kayardild,,,Evans 1995
7A-ked,No glottalized consonants,Glottalized Consonants,Kedang,,,Körner 1985;Samely 1991
7A-kef,Ejectives only,Glottalized Consonants,Kefa,,,Fleming 1976
7A-kek,Ejectives and implosives,Glottalized Consonants,K'ekchí,,,Freeze 1975;Haeseriju 1966
7A-ker,Implosives only,Glottalized Consonants,Kera,,,Ebert 1979;Ebert 1976
7A-ket,No glottalized consonants,Glottalized Consonants,Ket,,,Vajda 2000;Dul'zon 1968;Feev 1998;Krejnovich 1968a
7A-kew,No glottalized consonants,Glottalized Consonants,Kewa,,,Franklin and Franklin 1962
7A-kha,No glottalized consonants,Glottalized Consonants,Khalkha,,,Luvsanvandan 1964;Hangin 1968;Street 1963;Svantesson 1985
7A-kty,No glottalized consonants,Glottalized Consonants,Khanty,,,Nikolaeva 1999;Gulya 1966
7A-khr,No glottalized consonants,Glottalized Consonants,Kharia,,,Pinnow 1959;Biligiri 1965
7A-khs,No glottalized consonants,Glottalized Consonants,Khasi,,,Rabel 1961
7A-khm,Implosives only,Glottalized Consonants,Khmer,,,Ehrman 1972b;Huffman 1970a;Huffman 1970b;Jacob 1968
7A-kmu,Implosives and glottalized resonants,Glottalized Consonants,Khmu',,,Svantesson 1983
7A-kho,No glottalized consonants,Glottalized Consonants,Khoekhoe,,,Hagman 1977;Ladefoged and Traill 1984;Vossen 1997
7A-klv,No glottalized consonants,Glottalized Consonants,Kilivila,,,Senft 1986
7A-kio,Ejectives only,Glottalized Consonants,Kiowa,,,Watkins 1984;Sivertsen 1956
7A-kgz,No glottalized consonants,Glottalized Consonants,Kirghiz,,,Herbert and Poppe 1963;Junusaliev 1966
7A-krb,No glottalized consonants,Glottalized Consonants,Kiribati,,,Groves et al. 1985
7A-kss,Implosives only,Glottalized Consonants,Kisi (Southern),,,Childs 1995
7A-kiw,No glottalized consonants,Glottalized Consonants, Kiwai (Southern),,,Wurm 1977
7A-klm,Ejectives and glottalized resonants,Glottalized Consonants,Klamath,,,Barker 1963a;Barker 1964
7A-kla,No glottalized consonants,Glottalized Consonants,Klao,,,Singler 1979
7A-koa,No glottalized consonants,Glottalized Consonants,Koasati,,,Rising 1992;Haas 1944
7A-kob,No glottalized consonants,Glottalized Consonants,Kobon,,,Davies 1981b;Davies 1980
7A-koh,Implosives only,Glottalized Consonants,Kohumono,,,Cook 1969b
7A-koi,No glottalized consonants,Glottalized Consonants,Koiari,,,Dutton 1996;Dutton 1969
7A-kzy,No glottalized consonants,Glottalized Consonants,Komi-Zyrian,,,Bubrix 1949;Lytkin 1966b
7A-kom,Ejectives and implosives,Glottalized Consonants,Komo,,,Tucker and Bryan 1966
7A-kkn,No glottalized consonants,Glottalized Consonants,Konkani,,,Gajendragadkar 1970;Madtha 1984;Major 1979
7A-kgi,Implosives only,Glottalized Consonants,Konyagi,,,Santos 1977
7A-kor,Ejectives only,Glottalized Consonants,Korean,,,Kim 1972;Kim 1986;Lee 1999;Martin 1951;Martin 1954;Martin and Lee 1969;Cho 1967
7A-kfe,No glottalized consonants,Glottalized Consonants,Koromfe,,,Rennison 1997
7A-kry,No glottalized consonants,Glottalized Consonants,Koryak,,,Zhukova 1980
7A-kot,No glottalized consonants,Glottalized Consonants,Kota,,,Emeneau 1944
7A-ktk,Ejectives and implosives,Glottalized Consonants,Kotoko,,,Bouny 1977
7A-koy,No glottalized consonants,Glottalized Consonants,Koya,,,Tyler 1969
7A-kse,No glottalized consonants,Glottalized Consonants,Koyraboro Senni,,,Williamson 1967;Prost 1956
7A-kch,No glottalized consonants,Glottalized Consonants,Koyra Chiini,,,Heath 1999b
7A-kpa,No glottalized consonants,Glottalized Consonants,Kpan,,,Shimizu 1971
7A-kpe,Implosives only,Glottalized Consonants,Kpelle,,,Hyman 1973;Welmers 1962;Welmers 1973
7A-kro,Implosives only,Glottalized Consonants,Krongo,,,Reh 1985
7A-kya,No glottalized consonants,Glottalized Consonants,Kuku-Yalanji,,,Oates 1964b;Wurm 1972a;Oates and Oates 1964
7A-kul,Ejectives and implosives,Glottalized Consonants,Kullo,,,Allan 1976a
7A-kun,No glottalized consonants,Glottalized Consonants,Kuna,,,Sherzer 1983;Baptista and Wallin 1974
7A-knm,No glottalized consonants,Glottalized Consonants,Kunama,,,Bender 1996
7A-kmp,No glottalized consonants,Glottalized Consonants,Kunimaipa,,,Pence 1966
7A-krd,No glottalized consonants,Glottalized Consonants,Kurdish (Central),,,Abdulla and McCarus 1967;McCarus 1958
7A-kur,No glottalized consonants,Glottalized Consonants,Kurukh,,,Pinnow 1964;Pfeiffer 1972
7A-kut,Ejectives and glottalized resonants,Glottalized Consonants,Kutenai,,,Morgan 1991;Garvin 1948a
7A-kwa,No glottalized consonants,Glottalized Consonants,Kwaio,,,Keesing 1985
7A-kwk,Ejectives and glottalized resonants,Glottalized Consonants,Kwakw'ala,,,Boas 1947;Newman 1950;Grubb 1977;Boas 1911a
7A-kwo,No glottalized consonants,Glottalized Consonants,Kwoma,,,Kooyers et al. 1971
7A-lad,No glottalized consonants,Glottalized Consonants,Ladakhi,,,Koshal 1979
7A-lah,No glottalized consonants,Glottalized Consonants,Lahu,,,Matisoff 1988;Matisoff 1973
7A-lak,Ejectives only,Glottalized Consonants,Lak,,,Murkelinskij 1967;Khajdakov 1966b;Zhirkov 1955
7A-lkt,Ejectives only,Glottalized Consonants,Lakhota,,,Carter 1974
7A-lkk,Implosives only,Glottalized Consonants,Lakkia,,,Haudricourt 1967;Solnit 1988
7A-lam,Implosives only,Glottalized Consonants,Lamé,,,Sachnine 1982
7A-lan,No glottalized consonants,Glottalized Consonants,Lango,,,Okello 1975
7A-lat,No glottalized consonants,Glottalized Consonants,Latvian,,,Mathiassen 1997
7A-lav,No glottalized consonants,Glottalized Consonants,Lavukaleve,,,Terrill 1999
7A-llm,No glottalized consonants,Glottalized Consonants,Lelemi,,,Höftmann 1971
7A-len,No glottalized consonants,Glottalized Consonants,Lenakel,,,Lynch 1978
7A-lep,No glottalized consonants,Glottalized Consonants,Lepcha,,,Mainwaring 1876;Ju 1996;Mainwaring 1898
7A-lez,Ejectives only,Glottalized Consonants,Lezgian,,,Kodzasov 1990a;Haspelmath 1993
7A-lit,No glottalized consonants,Glottalized Consonants,Lithuanian,,,Augustitis 1964;Ambrazas et al. 1966;Senn 1966
7A-lu,No glottalized consonants,Glottalized Consonants,Lü,,,Morev 1978;Li 1964
7A-lua,Implosives only,Glottalized Consonants,Lua,,,Boyeldieu 1985
7A-lug,Implosives and glottalized resonants,Glottalized Consonants,Lugbara,,,Anderson 1986;Tucker and Bryan 1966;Crazzolara 1960
7A-lui,No glottalized consonants,Glottalized Consonants,Luiseño,,,Bright 1968;Kroeber and Grace 1960;Malecot 1963b;Bright 1965a;Hyde 1971
7A-luo,No glottalized consonants,Glottalized Consonants,Luo,,,Gregersen 1961
7A-lus,"Ejectives, implosives, and glottalized resonants",Glottalized Consonants,Lushootseed,,,Bates et al. 1994
7A-kkv,No glottalized consonants,Glottalized Consonants,Lusi,,,Counts 1969
7A-luv,No glottalized consonants,Glottalized Consonants,Luvale,,,Horton 1949
7A-maa,Implosives only,Glottalized Consonants,Maasai,,,Tucker and Mpaayei 1955;Tucker and Bryan 1966
7A-mab,No glottalized consonants,Glottalized Consonants,Maba,,,Tucker and Bryan 1966
7A-mne,Ejectives and implosives,Glottalized Consonants,Maidu (Northeast),,,Shipley 1964;Shipley 1956
7A-mak,Ejectives only,Glottalized Consonants,Makah,,,Jacobsen 1999
7A-mal,No glottalized consonants,Glottalized Consonants,Malagasy,,,Dyen 1971b;Dahl 1952
7A-mlk,No glottalized consonants,Glottalized Consonants,Malakmalak,,,Tryon 1974;Birk 1975
7A-mla,No glottalized consonants,Glottalized Consonants,Mambila,,,Perrin and Hill 1969;Connell 2000
7A-mnc,No glottalized consonants,Glottalized Consonants,Manchu,,,Austin 1962
7A-mnd,No glottalized consonants,Glottalized Consonants,Mandarin,,,Hanyu 1960;Cheng 1973a;Chao 1968;Dow 1972
7A-myi,No glottalized consonants,Glottalized Consonants,Mangarrayi,,,Merlan 1982
7A-mgg,No glottalized consonants,Glottalized Consonants,Mangghuer,,,Todaeva 1973
7A-mao,No glottalized consonants,Glottalized Consonants,Maori,,,Bauer 1993
7A-map,No glottalized consonants,Glottalized Consonants,Mapudungun,,,Smeets 1989
7A-mrn,No glottalized consonants,Glottalized Consonants,Maranao,,,McKaughan and Macaraya 1967;McKaughan 1958
7A-mku,No glottalized consonants,Glottalized Consonants,Maranungku,,,Tryon 1970b
7A-mrg,Implosives only,Glottalized Consonants,Margi,,,Hoffmann 1963;Maddieson 1987
7A-mar,No glottalized consonants,Glottalized Consonants,Maricopa,,,Gordon 1986
7A-mme,No glottalized consonants,Glottalized Consonants,Mari (Meadow),,,Kovedjaeva 1966;Ristinen 1960
7A-mrd,No glottalized consonants,Glottalized Consonants,Marind,,,Drabbe 1955
7A-mrt,No glottalized consonants,Glottalized Consonants,Martuthunira,,,Dench 1995
7A-mau,No glottalized consonants,Glottalized Consonants,Maung,,,Capell and Hinch 1970
7A-max,No glottalized consonants,Glottalized Consonants,Maxakalí,,,Gudschinsky et al. 1970
7A-mya,No glottalized consonants,Glottalized Consonants,Ma'ya,,,van der Leeden 1993;Remijsen 2001
7A-may,No glottalized consonants,Glottalized Consonants,Maybrat,,,Dol 1999
7A-maz,"Ejectives, implosives, and glottalized resonants",Glottalized Consonants,Mazahua,,,Spotts 1953
7A-mzc,No glottalized consonants,Glottalized Consonants,Mazatec (Chiquihuitlán),,,Jamieson 1976b;Jamieson 1976a
7A-mba,Implosives only,Glottalized Consonants,Mba,,,Pasch 1986
7A-mbb,No glottalized consonants,Glottalized Consonants,Mbabaram,,,Dixon 1966a;Dixon 1966b
7A-mbm,Implosives only,Glottalized Consonants,Mbum,,,Hagège 1970
7A-mei,No glottalized consonants,Glottalized Consonants,Meithei,,,Bhat and Ningomba 1997;Chelliah 1997
7A-mie,No glottalized consonants,Glottalized Consonants,Mien,,,Purnell 1965;Mao et al. 1982
7A-mss,No glottalized consonants,Glottalized Consonants,Miwok (Southern Sierra),,,Freeland 1951;Broadbent 1964
7A-mtp,No glottalized consonants,Glottalized Consonants,Mixe (Totontepec),,,Schoenhals and Schoenhals 1965;Crawford 1963
7A-mxc,No glottalized consonants,Glottalized Consonants,Mixtec (Chalcatongo),,,Macaulay 1996
7A-mxm,No glottalized consonants,Glottalized Consonants,Mixtec (Molinos),,,Hunter and Pike 1969
7A-mog,No glottalized consonants,Glottalized Consonants,Moghol,,,Weiers 1971
7A-mor,No glottalized consonants,Glottalized Consonants,Mor,,,Laycock 1978
7A-mro,No glottalized consonants,Glottalized Consonants,Moro,,,Schadeberg 1981b;Black and Black 1971
7A-mov,Implosives only,Glottalized Consonants,Movima,,,Judy and Judy 1962b;Aikhenvald and Dixon 1999
7A-mui,No glottalized consonants,Glottalized Consonants,Muinane,,,Aschmann 1993;Walton and Walton 1967
7A-mum,Implosives only,Glottalized Consonants,Mumuye,,,Shimizu 1983
7A-mun,No glottalized consonants,Glottalized Consonants,Mundari,,,Sinha 1975;Pinnow 1959;Gumperz and Bilibiri 1957
7A-mrl,Implosives only,Glottalized Consonants,Murle,,,Arensen 1982;Yigezu 2001
7A-mpa,No glottalized consonants,Glottalized Consonants,Murrinh-Patha,,,Street and Mollinjin 1981
7A-nhn,No glottalized consonants,Glottalized Consonants,Nahuatl (North Puebla),,,Brockway 1963
7A-nht,No glottalized consonants,Glottalized Consonants,Nahuatl (Tetelcingo),,,Tuggy 1979
7A-nmb,"Ejectives, implosives, and glottalized resonants",Glottalized Consonants,Nambikuára (Southern),,,Price 1976;Kroeker 1972
7A-nai,No glottalized consonants,Glottalized Consonants,Nanai,,,Avrorin 1968
7A-nnc,No glottalized consonants,Glottalized Consonants,Nancowry,,,Das 1977;Radhakrishnan 1981
7A-nan,No glottalized consonants,Glottalized Consonants,Nandi,,,Creider and Creider 1989
7A-nar,No glottalized consonants,Glottalized Consonants,Nara (in Ethiopia),,,Thompson 1976a;Bender 1968
7A-nas,No glottalized consonants,Glottalized Consonants,Nasioi,,,Hurd and Hurd 1966
7A-nbk,No glottalized consonants,Glottalized Consonants,Natügu,,,Wurm 1972b
7A-nav,Ejectives only,Glottalized Consonants,Navajo,,,Young and Morgan 1972;Sapir and Hoijer 1967
7A-nax,No glottalized consonants,Glottalized Consonants,Naxi,,,Jiang 1985;Bradley 1975;Jiang 1980
7A-ndt,Implosives only,Glottalized Consonants,Ndut,,,Gueye 1986
7A-ndy,No glottalized consonants,Glottalized Consonants,Ndyuka,,,Huttar and Huttar 1994;Huttar and Huttar 1972
7A-nen,No glottalized consonants,Glottalized Consonants,Nenets,,,Ristinen 1965;Ristinen 1968;Tereshchenko 1966a;Katz 1975a;Hajdú 1963;Decsy 1966
7A-nap,No glottalized consonants,Glottalized Consonants,Neo-Aramaic (Persian Azerbaijan),,,Garbell 1965
7A-nep,No glottalized consonants,Glottalized Consonants,Nepali,,,Bandhu et al. 1971
7A-new,No glottalized consonants,Glottalized Consonants,Newari (Kathmandu),,,Hale and Hale 1969;Manandhar 1986
7A-nez,Ejectives and glottalized resonants,Glottalized Consonants,Nez Perce,,,Aoki 1994
7A-nga,No glottalized consonants,Glottalized Consonants,Nganasan,,,Tereshchenko 1979;Tereshchenko 1966c;Castren 1966
7A-nti,Implosives only,Glottalized Consonants,Ngiti,,,Kutsch Lojenga 1994
7A-ngi,No glottalized consonants,Glottalized Consonants,Ngiyambaa,,,Donaldson 1980
7A-ngz,Implosives only,Glottalized Consonants,Ngizim,,,Schuh 1981
7A-nim,No glottalized consonants,Glottalized Consonants,Nimboran,,,Anceaux 1965
7A-chu,Ejectives only,Glottalized Consonants,Nivacle,,,Stell 1972
7A-niv,No glottalized consonants,Glottalized Consonants,Nivkh,,,Krejnovich 1937;Gruzdeva 1998
7A-nko,No glottalized consonants,Glottalized Consonants,Nkore-Kiga,,,Taylor 1985
7A-nob,No glottalized consonants,Glottalized Consonants,Nobiin,,,Bell 1971;Bell 1968;Werner 1987
